,name,has_test,response_letter_required,published_at,archived,alternate_url,id,trusted,from,to,currency,gross,raw,lat,lng,responsibility,requirement,metro,role
0,Python-разработчик,False,False,2024-06-11T12:20:55+0300,False,https://hh.ru/vacancy/101336001,full,True,,,,,"Санкт-Петербург, набережная Обводного канала, 199-201П",59.910474,30.285954,"Разработа бэка для веб-приложений и мобильных приложений в проекте, включающем геоинформационную систему, корпоративный портал, систему аналитики. Поддержка работоспособности, доработка...","Требования к владению технологиями: Обязательно: <highlighttext>Python</highlighttext>3, MySQL 5.7+, PostgreSQL 10+, Flask, FastAPI, Docker. Уметь читать и...",Балтийская,"Программист, разработчик"
1,Программист Python,False,False,2024-06-11T12:33:07+0300,False,https://hh.ru/vacancy/100345235,full,True,90000.0,,RUR,False,,,,Модули:,Асинхронное sqlalchemy (asyncpg). Loguru. Уметь работать с базами данных: MariaDB\MySQL. PostreSQL. Уметь работать с alembic. Уметь работать с VPS...,,"Программист, разработчик"
2,Стажер в IT-компанию (с уклоном в python разработку),False,False,2024-06-12T16:12:25+0300,False,https://hh.ru/vacancy/100512493,probation,True,,,,,"Санкт-Петербург, Большой Сампсониевский проспект, 68Н",59.979705,30.336026,Изучать Битрикс24 и сдавать экзамены на знание продукта и получение различных компетенций. Участвовать в формализации бизнес-процессов клиентов для...,Знаешь основы программирования на <highlighttext>python</highlighttext> (и изучал другие языки программирования). Ответственно относишься к работе. Умеешь работать с людьми. ,Лесная,"Программист, разработчик"
3,Python backend developer jn+,False,False,2024-06-13T12:01:29+0300,False,https://hh.ru/vacancy/101843383,full,True,,,,,"Санкт-Петербург, набережная реки Мойки, 74",59.930602,30.306301,Написанием идеального кода для решения сложных бизнес задач управления и отчётности. Непрерывное погружение в бизнес процессы. Написать к нему REST...,Чем будешь заниматься: Неограниченный доступ к образовательному контенту на портале знаний от корпоративного университета.,Сенная площадь,"Программист, разработчик"
4,Junior Python аналитик,True,False,2024-06-10T12:32:10+0300,False,https://hh.ru/vacancy/101631070,full,True,,,,,,,,1) Поддержания работоспособности автоматизированных скриптов <highlighttext>Python</highlighttext>. 2) Написание скриптов для парсинга данных из почты или excel файлов. 3) Написание скриптов...,Требования: -Знание SQL (на уровне оконных функций). -Знание <highlighttext>Python</highlighttext> (на уровне парсинга данных и обращения к бд). -Опыт написания телеграмм...,,"BI-аналитик, аналитик данных"
5,Стажер Data Scientist,False,False,2024-06-10T17:24:00+0300,False,https://hh.ru/vacancy/101661365,probation,True,,,,,,,,"Исследовать подходы к моделированию и валидации различных классов моделей. Автоматизировать валидационные тесты, совершенствовать мониторинг качества моделей. Разрабатывать пайплайны для проверки...",статистики и теории вероятностей. Хороший уровень владения основными библиотеками <highlighttext>Python</highlighttext> для машинного обучения и анализа данных. Опыт написания классов и...,,Аналитик
6,Python - разработчик в AI компанию,False,False,2024-06-12T16:42:55+0300,False,https://hh.ru/vacancy/101154908,full,True,150000.0,150000.0,RUR,False,,,,"Аналитику продаж по каналам трафика (ROMI, CPL). Когортный анализ - как быстро трафик оборачивается в деньги. Аналитика результатов вебинаров - заявки, продажи. ","Официальный опыт работы <highlighttext>Python</highlighttext>-разработчиком от 1 года. <highlighttext>Python</highlighttext> 3.7+. <highlighttext>Python</highlighttext>-библиотеки: Pandas 1.3+, Numpy. ",,"Программист, разработчик"
7,ML-инженер,False,False,2024-06-13T12:18:39+0300,False,https://hh.ru/vacancy/101494631,full,True,200000.0,,RUR,True,,,,"Реализовывать прототипы и MVP в full-stack подходе на <highlighttext>Python</highlighttext> (streamlit, gradio и т.п.). Решать задачи в области data...",Знание <highlighttext>Python</highlighttext> и фреймворков для машинного обучения. Профильное техническое высшее образование. Опыт работы в командах более одного года.,,"Программист, разработчик"
8,Data Engineer,False,False,2024-06-11T11:47:50+0300,False,https://hh.ru/vacancy/101728051,full,True,,500000.0,RUR,False,,,,"Build and maintain scalable data solutions and pipelines in cloud infrastructure. Analyze, organize and integrate raw data from diverse sources. ","Solid experience using <highlighttext>Python</highlighttext> for data manipulation, pipeline development and backend systems. Hands-on experience with ETL / orchestration tools (Apache...",,Другое
9,Data Analyst/Аналитик данных (Junior),False,False,2024-06-10T16:08:24+0300,False,https://hh.ru/vacancy/101653612,full,True,,,,,,,,"Разработка витрин данных (SQL). Разработка скриптов, формирующих витрины (<highlighttext>Python</highlighttext>, Airflow). Поддержка работы алгоритмов прогнозирования различных метрик. Настройка событий веб-аналитики...","Знаете SQL и принципы работы баз данных. Знаете <highlighttext>Python</highlighttext>. Умеете формулировать мысли как устно, так и письменно. Имеете опыт работы...",,Аналитик
